"","Data","ur","employ","gdp"
"1","2013 T1",7.63333333333333,89217.3333333333,1222491.5903329
"2","2013 T2",7.6,89791.6666666667,1308274.03048517
"3","2013 T3",7.1,90533.6666666667,1332705.33404747
"4","2013 T4",6.46666666666667,91145,1394064.28375933
"5","2014 T1",6.76666666666667,90969.6666666667,1357122.40199425
"6","2014 T2",6.96666666666667,91331.3333333333,1400651.91593259
"7","2014 T3",6.86666666666667,91571.6666666667,1434410.26271742
"8","2014 T4",6.53333333333333,92246.3333333333,1479081.42390753
"9","2015 T1",7.36666666666667,91867.6666666667,1432384.86670459
"10","2015 T2",8.13333333333333,91700.6666666667,1453126.38458079
"11","2015 T3",8.7,91676.6666666667,1477054.90848195
"12","2015 T4",8.93333333333333,91779,1520398.55692155
"13","2016 T1",10.2,90694.6666666667,1460521.85636962
"14","2016 T2",11.2333333333333,90340,1533271.8967149
"15","2016 T3",11.7333333333333,89745,1543410.44945179
"16","2016 T4",11.8666666666667,89724.6666666667,1599117.46517444
"17","2017 T1",13.1666666666667,89005.3333333333,1550588.05551365
"18","2017 T2",13.3,89355.6666666667,1603683.52250729
"19","2017 T3",12.6,90660.6666666667,1616832.50970025
"20","2017 T4",12,91527.6666666667,1691258.98697377
"21","2018 T1",12.6333333333333,90806,1631480.98576044
"22","2018 T2",12.6666666666667,90652,1694558.2508472
"23","2018 T3",12.1,91830,1720629.61279202
"24","2018 T4",11.6333333333333,92756.6666666667,1762712.64532898
"25","2019 T1",12.3666666666667,92011.3333333333,1717444.87424366
"26","2019 T2",12.2666666666667,92884.6666666667,1794718.86882334
"27","2019 T3",11.8,93672,1826620.2188759
"28","2019 T4",11.2666666666667,94341,1869840.34261058
"29","2020 T1",11.6666666666667,93361.3333333333,1780813.33923346
"30","2020 T2",12.9333333333333,86174.6666666667,1679813.76289151
"31","2020 T3",14.2666666666667,82052.3333333333,1863515.94052288
